"rank","unit_family","manufacturer","equipment_type","market_segment","primary_document_title","primary_document_type","primary_document_url","secondary_document_url","source_priority","documentation_quality","match_status","confidence","search_status","commonness_basis","notes"
"11","Residential air conditioners","American Standard","Air Conditioner","Residential split system","American Standard air conditioners product library","official_product_library","https://www.americanstandardair.com/products/air-conditioners/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","American Standard shares Trane lineage and has a meaningful US installed base.","Official category page only; use exact model literature before repair guidance."
"12","Residential air conditioners","York","Air Conditioner","Residential split system","York official homeowner product entry","official_brand_site","https://www.york.com/","https://www.york.com/homeowners/products","official_manufacturer","official_site_review_needed","manufacturer_generic","low","searched_saved","York is common enough to include, but public deep product URLs were not stable in this pass.","Do not use this row for technical specs; find current York family PDF or distributor literature during model-specific review."
"13","GSZB4 split-system heat pump","Goodman","Heat Pump","Residential split system","Goodman SS-GSZB4 product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-gszb4.pdf","https://www.goodmanmfg.com/products/heat-pumps","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Goodman value-tier heat pumps are common in US replacement and builder markets.","Direct PDF is high-quality, but final extraction still needs exact installed model verification."
"14","GSZH5 split-system heat pump","Goodman","Heat Pump","Residential split system","Goodman SS-GSZH5 product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-gszh5.pdf","https://www.goodmanmfg.com/products/heat-pumps","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Common higher-efficiency Goodman heat-pump family for residential replacement work.","Use family PDF after confirming exact model suffix and revision."
"15","25SCA5 Comfort heat pump","Carrier","Heat Pump","Residential split system","Carrier Comfort 15 Heat Pump 25SCA5","official_product_page","https://www.carrier.com/residential/en/us/products/heat-pumps/25sca5/","https://www.carrier.com/us/en/residential/heat-pumps/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Carrier heat pumps are common in mild-climate US regions and electrification replacements.","Official family page; exact product data PDF should be collected during model-specific review."
"16","215SAN Legacy line heat pump","Bryant","Heat Pump","Residential split system","Bryant Legacy Line Heat Pump 215SAN","official_product_page","https://www.bryant.com/en/us/products/heat-pumps/215san/","https://www.bryant.com/en/us/products/heat-pumps/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Bryant heat pumps share Carrier platform and are common through Bryant dealers.","Official family page only; gather product data PDF when exact equipment is known."
"17","Residential heat pumps","Trane","Heat Pump","Residential split system","Trane residential heat pumps product library","official_product_library","https://www.trane.com/residential/en/products/heat-pumps/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Trane heat pumps are common in US replacement and premium residential installs.","Category source only; exact 4TWR/4TWX model documentation needed for technical guidance."
"18","Residential heat pumps","Rheem","Heat Pump","Residential split system","Rheem residential heat pumps product library","official_product_library","https://www.rheem.com/products/residential/heating-and-cooling/heat_pumps/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Rheem heat pumps are common in warmer US regions and distributor channels.","Official category page; do not infer values without exact RP/RD family literature."
"19","RP14AZ Endeavor Classic heat pump","Ruud","Heat Pump","Residential split system","Ruud Endeavor Line Classic Series RP14AZ heat pump","official_product_page","https://www.ruud.com/product/endeavor-line-classic-series-heat-pump-rp14az/","https://www.ruud.com/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Ruud/Rheem platform heat pumps are common in residential service.","Official family page; exact model and revision still required."
"20","Residential heat pumps","Bosch","Heat Pump","Residential split system","Bosch residential heat pumps product library","official_product_library","https://www.bosch-homecomfort.com/us/en/ocs/residential/heat-pumps-1098929-c/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Bosch IDS-style inverter heat pumps are increasingly common in US electrification retrofits.","Official category page; exact IDS/BOVA/BOVB literature should be captured for service values."
"21","Residential heat pumps","Lennox","Heat Pump","Residential split system","Lennox residential heat pumps product library","official_product_library","https://www.lennox.com/residential/products/heating-cooling/heat-pumps","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Lennox heat pumps are common in US residential replacement.","Official category page; exact ML/EL/SL family documentation required before extraction."
"22","Residential heat pumps","American Standard","Heat Pump","Residential split system","American Standard heat pumps product library","official_product_library","https://www.americanstandardair.com/products/heat-pumps/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","American Standard/Trane heat pumps are common in residential service.","Official category page only; exact family product data required."
"23","Whole-house heat pumps","Daikin","Heat Pump","Residential split system","Daikin whole-house heat pumps product library","official_product_library","https://www.daikincomfort.com/products/heating-cooling/whole-house/heat-pumps","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Daikin heat pumps are common enough for a national reference dataset.","Official category page; exact DZ/DH/Daikin Fit literature needed for repairs."
"24","GM9S80 gas furnace","Goodman","Gas Furnace","Residential furnace","Goodman SS-GM9S80 product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-gm9s80.pdf","https://www.goodmanmfg.com/products/gas-furnaces","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Goodman 80 percent gas furnaces are common in mixed-climate US homes.","Direct family PDF; verify exact cabinet and input size before using specs."
"25","GM9C96 gas furnace","Goodman","Gas Furnace","Residential furnace","Goodman SS-GM9C96 product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-gm9c96.pdf","https://www.goodmanmfg.com/products/gas-furnaces","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","High-efficiency Goodman furnaces are common in northern/mixed-climate service work.","Direct PDF is strong; still confirm exact model and revision."
"26","59SC5 Comfort gas furnace","Carrier","Gas Furnace","Residential furnace","Carrier Comfort 95 Gas Furnace 59SC5","official_product_page","https://www.carrier.com/residential/en/us/products/gas-furnaces/59sc5/","https://www.carrier.com/us/en/residential/furnaces/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Carrier condensing furnaces are common in US residential service.","Official family page; gather install/service PDF before AI repair retrieval."
"27","915S Legacy gas furnace","Bryant","Gas Furnace","Residential furnace","Bryant Legacy Line Fixed-Speed 95 percent gas furnace 915S","official_product_page","https://www.bryant.com/en/us/products/gas-furnaces/915s/","https://www.bryant.com/en/us/products/gas-furnaces/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Bryant furnaces are common through Bryant dealer networks.","Official family page; exact installation/service literature required for repair steps."
"28","Residential gas furnaces","Trane","Gas Furnace","Residential furnace","Trane residential furnaces product library","official_product_library","https://www.trane.com/residential/en/products/furnaces/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Trane furnaces are common in US mixed and cold climate service.","Category page; exact S8/S9 family literature required."
"29","Residential gas furnaces","Lennox","Gas Furnace","Residential furnace","Lennox residential furnaces product library","official_product_library","https://www.lennox.com/residential/products/heating-cooling/furnaces","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Lennox furnaces are common in builder and replacement markets.","Official category page only; exact ML/EL/SL furnace docs needed."
"30","Residential furnaces","Rheem","Gas Furnace","Residential furnace","Rheem residential furnaces product library","official_product_library","https://www.rheem.com/products/residential/heating-and-cooling/furnaces/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Rheem furnaces are common through regional distribution.","Official category page; exact R801/R962/R98 family literature required."
"31","Residential gas furnaces","American Standard","Gas Furnace","Residential furnace","American Standard furnaces product library","official_product_library","https://www.americanstandardair.com/products/furnaces/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","American Standard furnaces share Trane ecosystem and are common in US homes.","Official category page only; exact model literature needed."
"32","Residential gas furnaces","Amana","Gas Furnace","Residential furnace","Amana gas furnaces product library","official_product_library","https://www.amana-hac.com/products/gas-furnaces","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Amana furnaces share Daikin/Goodman service ecosystem.","Official category page; exact AM/AC furnace literature should be added by model."
"33","AMST air handler","Goodman","Air Handler","Residential indoor unit","Goodman SS-AMST product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-amst.pdf","https://www.goodmanmfg.com/products/air-handlers-and-coils","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Goodman air handlers are common with split AC and heat-pump systems.","Direct family PDF; verify cabinet size, heat kit, and matched outdoor unit."
"34","CAPTA evaporator coil","Goodman","Evaporator Coil","Residential indoor coil","Goodman SS-CAPTA product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-capta.pdf","https://www.goodmanmfg.com/products/air-handlers-and-coils","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Goodman cased coils are common in furnace plus AC replacements.","Direct PDF; match coil size, metering device, and AHRI combination before use."
"35","FV4C fan coil","Carrier","Fan Coil / Air Handler","Residential indoor unit","Carrier FV4C Fan Coil","official_product_page","https://www.carrier.com/residential/en/us/products/fan-coils/fv4c/","https://www.carrier.com/us/en/residential/fan-coils/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Carrier fan coils are common with Carrier/Bryant heat pumps and AC systems.","Official family page; product data/installation PDF should be collected for exact model."
"36","CNPVP evaporator coil","Carrier","Evaporator Coil","Residential indoor coil","Carrier CNPVP evaporator coil","official_product_page","https://www.carrier.com/residential/en/us/products/evaporator-coils/cnpvp/","https://www.carrier.com/us/en/residential/evaporator-coils/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Carrier cased coils are common in replacement split systems.","Official family page; exact coil and matched system documentation required."
"37","FV4C fan coil","Bryant","Fan Coil / Air Handler","Residential indoor unit","Bryant FV4C fan coil","official_product_page","https://www.bryant.com/en/us/products/fan-coils/fv4c/","https://www.bryant.com/en/us/products/fan-coils/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Bryant fan coils share Carrier ecosystem and are common in residential service.","Official family page only; exact install/service PDF required for repairs."
"38","Residential air handlers","Trane","Air Handler","Residential indoor unit","Trane air handlers product library","official_product_library","https://www.trane.com/residential/en/products/air-handlers/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Trane TEM/TAM-style air handlers are common in heat-pump and straight-cool systems.","Category page; exact TEM/TAM product data needed for technical values."
"39","Residential air handlers","Lennox","Air Handler","Residential indoor unit","Lennox air handlers product library","official_product_library","https://www.lennox.com/residential/products/heating-cooling/air-handlers","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Lennox CBA-style air handlers are common in US homes.","Official category page; exact CBA/CBX documentation needed before extraction."
"40","Residential air handlers","Rheem","Air Handler","Residential indoor unit","Rheem residential air handlers product library","official_product_library","https://www.rheem.com/products/residential/heating-and-cooling/air_handlers/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Rheem air handlers are common with Rheem/Ruud heat pumps and AC systems.","Official category page; exact RH family literature required."
"41","Residential air handlers","Bosch","Air Handler","Residential indoor unit","Bosch residential air handlers product library","official_product_library","https://www.bosch-homecomfort.com/us/en/ocs/residential/air-handlers-1098931-c/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Bosch air handlers are commonly paired with Bosch inverter heat-pump systems.","Official category page; exact BVA/BMAC documents needed."
"42","Air handlers and coils","Amana","Air Handler / Coil","Residential indoor unit","Amana air handlers and coils product library","official_product_library","https://www.amana-hac.com/products/air-handlers-and-coils","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Amana indoor units appear in Daikin/Goodman ecosystem installs.","Official category page; exact air-handler/coil family PDF needed."
"43","Indoor coils product family","ADP","Evaporator Coil","Residential indoor coil","ADP products library","official_product_library","https://www.adpnow.com/products/","https://www.adpnow.com/","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","ADP coils are widely used as third-party replacement/matched indoor coils.","Official products page; exact ADP coil model and AHRI match required."
"44","Ductless mini-splits","Carrier","Ductless Mini-Split","Residential ductless","Carrier ductless mini-splits product library","official_product_library","https://www.carrier.com/us/en/residential/ductless-mini-splits/","https://www.carrierductless.com/","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Carrier ductless systems are common in add-on zones and retrofit applications.","Official category page; exact indoor/outdoor model pair needed."
"45","M-Series residential ductless systems","Mitsubishi Electric","Ductless Mini-Split","Residential ductless","Mitsubishi Electric residential products library","official_product_library","https://www.mitsubishicomfort.com/products","https://mylinkdrive.com/USA","official_manufacturer","official_product_and_document_portal","manufacturer_generic","medium","searched_saved","Mitsubishi Electric has one of the largest US ductless installed bases.","Use mylinkdrive for exact service manuals and submittals by model."
"46","Mitsubishi mylinkdrive documentation portal","Mitsubishi Electric","Ductless Mini-Split","Residential/light commercial ductless","Mitsubishi Electric mylinkdrive documentation portal","official_document_portal","https://mylinkdrive.com/USA","https://www.mitsubishicomfort.com/products","official_manufacturer","official_document_portal","manufacturer_generic","medium","searched_saved","The official document portal is essential for Mitsubishi model-specific service manuals.","Not a single unit family; included because it is the high-quality source for Mitsubishi repair docs."
"47","Halcyon residential ductless systems","Fujitsu","Ductless Mini-Split","Residential ductless","Fujitsu residential products lineup","official_product_library","https://www.fujitsugeneral.com/us/residential/index.html","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Fujitsu ductless systems are common in US add-on and retrofit applications.","Official category page; exact AOU/ASU service manual needed by model."
"48","Residential and light commercial ductless systems","LG","Ductless Mini-Split","Residential/light commercial ductless","LG HVAC residential and light commercial library","official_product_library","https://www.lghvac.com/residential-light-commercial","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","LG ductless systems are common enough for national reference coverage.","Official category page; exact LSU/LMU/LSN service documentation required."
"49","Residential ductless systems","Daikin","Ductless Mini-Split","Residential ductless","Daikin ductless systems product library","official_product_library","https://www.daikincomfort.com/products/heating-cooling/ductless-systems","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Daikin ductless systems are common through Daikin dealer networks.","Official category page; exact indoor/outdoor model manuals needed."
"50","Commercial rooftop units","Trane","RTU","Light commercial packaged unit","Trane commercial rooftop units product library","official_product_library","https://www.trane.com/commercial/north-america/us/en/products-systems/packaged-units-and-split-systems/rooftop-units.html","https://www.lennoxcommercial.com/products/packaged-rooftop-units","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","RTUs are very common in US light-commercial service; Trane included as representative top-50 endpoint.","Use exact Voyager/Precedent/IntelliPak model documentation before any repair workflow uses this source."
